,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher
S23,75,76,2.3339598156465,75.5710526315789,3.42861004125792,2.53307551642877,0.87657660566391,8.10219169047432,7.55674374903561
S24,141,141,0.249111897726007,141.364526748971,4.12143481082749,3.49530307827269,0.944134075910418,17.8999992624571,15.0379391659214
S25,133,133,0.0622645942671124,133.473838781491,4.11745540019556,2.71280753272944,0.865178678407727,7.41722442852328,13.7604484246958
S26,226,226.25,0.73657119151223,226.418470743305,6.01571632555695,2.92545944552433,0.888257872726131,8.94917632585511,25.1231932741184
S27,236,238.8,2.82907469883552,240.23363268093,5.83493882981736,2.83604614989632,0.88619960900839,8.78731603016831,26.1023443773622
S28,112,112,0,112,3.97200021579628,2.63996916221915,0.875641820535003,8.04128851276302,11.5389511470539
S29,176,176,0,176,4.8523658709391,2.67521483286023,0.884387827391757,8.64960823276411,18.8688867684785
S37,128,129.5,2.59473032946113,129.047803124818,4.21000919204135,2.49003119150355,0.853608301675082,6.83098844703945,13.1653525873628
S38,178,178,0,178,4.3910020355728,2.91159263067016,0.892577219459652,9.30901243637427,19.1376517605956
S39,84,85,2.33515335181024,85.8421052631579,2.16706972315251,2.59922397096611,0.851807558880303,6.74798250466965,8.17735007191513
S40,188,188.142857142857,0.486878998398045,188.753153549001,5.13137929902714,2.91622980514109,0.880215916490255,8.34835456180321,20.3727563788194
S41,107,107,0.248829033375262,107.262887185024,3.65941582663604,2.67088640331281,0.880813852980584,8.39023682707936,10.7498343116878
S42,135,135,0,135,4.21109645262767,2.71119783844738,0.872000779746543,7.812547592242,14.0071324800243
S43,183,183,0,183,5.07431117293583,2.82150562912443,0.879989107093562,8.33257695015747,19.6776434003919
