ASV,Kingdom,Phylum,Class,Order,Family,Genus,S23,S24,S25,S26,S27,S28,S29,S37,S38,S39,S40,S41,S42,S43
ASV_ 1,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,37051,14333,41518,32328,36549,19889,34759,65960,41216,73723,56835,50307,55653,58509
ASV_ 10,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,2335,258,2796,2437,2821,1251,1579,24114,13514,6365,12454,8160,7731,13684
ASV_ 100,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,0,0,0,0,0,0,0,0,0,0,964,0,0,186
ASV_ 101,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,1124,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 102,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,0,420,0,390,248,0,66,0,0,0,0,0,0,0
ASV_ 103,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,0,0,0,32,0,0,0,0,1047,0,0,0,0,21
ASV_ 104,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,0,97,0,0,0,0,0,54,0,914,21,0,0,0
ASV_ 105,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,115,100,671,0,0,0,0,80,0,0,24
ASV_ 106,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,0,231,132,0,0,238,0,25,354,0,0,0,0,0
ASV_ 107,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,457,93,108,0,0,0,181,0,119,0,0,0
ASV_ 108,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,181,0,0,90,0,126,0,274,0,158,0,111,0
ASV_ 109,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,0,930,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 11,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,1997,1997,793,732,1540,1116,1574,8814,4564,3164,4021,32722,11359,5414
ASV_ 110,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,0,0,0,0,0,909,0,0,0,0,0,0,0,0
ASV_ 111,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,0,644,157,71,36,0,0,0,0,0,0,0,0,0
ASV_ 112,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,0,0,0,0,0,0,0,467,65,0,174,0,32,162
ASV_ 113,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,0,0,205,313,163,0,0,0,57,0,0,60,62,0
ASV_ 114,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,0,0,0,0,0,0,0,114,0,0,0,595,143,0
