,"length_FWD","length_REV","denoisedF","denoisedR","merged","nonchim","input"
"S23",132,130,246459,246369,242213,154400,517412
"S24",132,130,298495,297764,282246,177509,626768
"S25",132,130,320202,319916,310902,216884,670880
"S26",132,130,311308,310888,296515,202671,654514
"S27",132,130,323241,322958,309641,220409,678100
"S28",132,130,274851,274781,268339,189458,574222
"S29",132,130,314339,314239,304632,212129,659626
"S37",132,130,341787,341872,332669,219700,715940
"S38",132,130,315706,315949,304493,209526,662216
"S39",132,130,310416,310239,303233,236478,650868
"S40",132,130,312730,312889,301182,207339,657246
"S41",132,130,323532,323657,317390,226044,678018
"S42",132,130,305577,305626,296524,214797,640812
"S43",132,130,326035,326334,314897,215192,684808
