sample,readsNums,Name,Experiment,Alpha,value
S23,3088,S23,S23,Observe,46
S23,6176,S23,S23,Observe,53
S23,9264,S23,S23,Observe,56
S23,12352,S23,S23,Observe,60
S23,15440,S23,S23,Observe,64
S23,18528,S23,S23,Observe,64
S23,21616,S23,S23,Observe,67
S23,24704,S23,S23,Observe,69
S23,27792,S23,S23,Observe,70
S23,30880,S23,S23,Observe,70
S23,33968,S23,S23,Observe,70
S23,37056,S23,S23,Observe,72
S23,40144,S23,S23,Observe,72
S23,43232,S23,S23,Observe,73
S23,46320,S23,S23,Observe,73
S23,49408,S23,S23,Observe,73
S23,52496,S23,S23,Observe,74
S23,55584,S23,S23,Observe,75
S23,58672,S23,S23,Observe,75
S23,61760,S23,S23,Observe,75
S23,64848,S23,S23,Observe,75
S23,67936,S23,S23,Observe,75
S23,71024,S23,S23,Observe,75
S23,74112,S23,S23,Observe,75
S23,77200,S23,S23,Observe,75
S23,80288,S23,S23,Observe,75
S23,83376,S23,S23,Observe,75
S23,86464,S23,S23,Observe,75
S23,89552,S23,S23,Observe,75
S23,92640,S23,S23,Observe,75
S23,95728,S23,S23,Observe,75
S23,98816,S23,S23,Observe,75
S23,101904,S23,S23,Observe,75
S23,104992,S23,S23,Observe,75
S23,108080,S23,S23,Observe,75
S23,111168,S23,S23,Observe,75
S23,114256,S23,S23,Observe,75
S23,117344,S23,S23,Observe,75
S23,120432,S23,S23,Observe,75
S23,123520,S23,S23,Observe,75
S23,126608,S23,S23,Observe,75
S23,129696,S23,S23,Observe,75
S23,132784,S23,S23,Observe,75
S23,135872,S23,S23,Observe,75
S23,138960,S23,S23,Observe,75
S23,142048,S23,S23,Observe,75
S23,145136,S23,S23,Observe,75
S23,148224,S23,S23,Observe,75
S23,151312,S23,S23,Observe,75
S23,154400,S23,S23,Observe,75
S23,154400,S23,S23,Observe,75
S24,3088,S24,S24,Observe,109
S24,6176,S24,S24,Observe,116
S24,9264,S24,S24,Observe,120
S24,12352,S24,S24,Observe,120
S24,15440,S24,S24,Observe,121
S24,18528,S24,S24,Observe,122
S24,21616,S24,S24,Observe,122
S24,24704,S24,S24,Observe,125
S24,27792,S24,S24,Observe,127
S24,30880,S24,S24,Observe,128
S24,33968,S24,S24,Observe,129
S24,37056,S24,S24,Observe,130
S24,40144,S24,S24,Observe,131
S24,43232,S24,S24,Observe,131
S24,46320,S24,S24,Observe,132
S24,49408,S24,S24,Observe,133
S24,52496,S24,S24,Observe,134
S24,55584,S24,S24,Observe,136
S24,58672,S24,S24,Observe,136
S24,61760,S24,S24,Observe,136
S24,64848,S24,S24,Observe,136
S24,67936,S24,S24,Observe,136
S24,71024,S24,S24,Observe,136
S24,74112,S24,S24,Observe,137
S24,77200,S24,S24,Observe,138
S24,80288,S24,S24,Observe,139
S24,83376,S24,S24,Observe,140
S24,86464,S24,S24,Observe,140
S24,89552,S24,S24,Observe,140
S24,92640,S24,S24,Observe,140
S24,95728,S24,S24,Observe,140
S24,98816,S24,S24,Observe,140
S24,101904,S24,S24,Observe,140
S24,104992,S24,S24,Observe,141
S24,108080,S24,S24,Observe,141
S24,111168,S24,S24,Observe,141
S24,114256,S24,S24,Observe,141
S24,117344,S24,S24,Observe,141
S24,120432,S24,S24,Observe,141
S24,123520,S24,S24,Observe,141
S24,126608,S24,S24,Observe,141
S24,129696,S24,S24,Observe,141
S24,132784,S24,S24,Observe,141
S24,135872,S24,S24,Observe,141
S24,138960,S24,S24,Observe,141
S24,142048,S24,S24,Observe,141
S24,145136,S24,S24,Observe,141
S24,148224,S24,S24,Observe,141
S24,151312,S24,S24,Observe,141
S24,154400,S24,S24,Observe,141
S24,154400,S24,S24,Observe,141
S25,3088,S25,S25,Observe,85
S25,6176,S25,S25,Observe,97
S25,9264,S25,S25,Observe,106
S25,12352,S25,S25,Observe,108
S25,15440,S25,S25,Observe,109
S25,18528,S25,S25,Observe,112
S25,21616,S25,S25,Observe,113
S25,24704,S25,S25,Observe,115
S25,27792,S25,S25,Observe,117
S25,30880,S25,S25,Observe,117
S25,33968,S25,S25,Observe,118
S25,37056,S25,S25,Observe,119
S25,40144,S25,S25,Observe,119
S25,43232,S25,S25,Observe,120
S25,46320,S25,S25,Observe,121
S25,49408,S25,S25,Observe,122
S25,52496,S25,S25,Observe,123
S25,55584,S25,S25,Observe,124
S25,58672,S25,S25,Observe,124
S25,61760,S25,S25,Observe,124
S25,64848,S25,S25,Observe,124
S25,67936,S25,S25,Observe,124
S25,71024,S25,S25,Observe,124
S25,74112,S25,S25,Observe,124
S25,77200,S25,S25,Observe,125
S25,80288,S25,S25,Observe,126
S25,83376,S25,S25,Observe,127
S25,86464,S25,S25,Observe,127
S25,89552,S25,S25,Observe,127
S25,92640,S25,S25,Observe,127
S25,95728,S25,S25,Observe,127
S25,98816,S25,S25,Observe,127
S25,101904,S25,S25,Observe,127
S25,104992,S25,S25,Observe,128
S25,108080,S25,S25,Observe,129
S25,111168,S25,S25,Observe,129
S25,114256,S25,S25,Observe,129
S25,117344,S25,S25,Observe,129
S25,120432,S25,S25,Observe,129
S25,123520,S25,S25,Observe,129
S25,126608,S25,S25,Observe,129
S25,129696,S25,S25,Observe,129
S25,132784,S25,S25,Observe,129
S25,135872,S25,S25,Observe,129
S25,138960,S25,S25,Observe,130
S25,142048,S25,S25,Observe,130
S25,145136,S25,S25,Observe,130
S25,148224,S25,S25,Observe,130
S25,151312,S25,S25,Observe,130
S25,154400,S25,S25,Observe,130
S25,154400,S25,S25,Observe,130
S26,3088,S26,S26,Observe,125
S26,6176,S26,S26,Observe,149
S26,9264,S26,S26,Observe,169
S26,12352,S26,S26,Observe,176
S26,15440,S26,S26,Observe,181
S26,18528,S26,S26,Observe,186
S26,21616,S26,S26,Observe,188
S26,24704,S26,S26,Observe,191
S26,27792,S26,S26,Observe,195
S26,30880,S26,S26,Observe,199
S26,33968,S26,S26,Observe,203
S26,37056,S26,S26,Observe,204
S26,40144,S26,S26,Observe,205
S26,43232,S26,S26,Observe,208
S26,46320,S26,S26,Observe,209
S26,49408,S26,S26,Observe,210
S26,52496,S26,S26,Observe,211
S26,55584,S26,S26,Observe,214
S26,58672,S26,S26,Observe,214
S26,61760,S26,S26,Observe,214
S26,64848,S26,S26,Observe,214
S26,67936,S26,S26,Observe,214
S26,71024,S26,S26,Observe,214
S26,74112,S26,S26,Observe,215
S26,77200,S26,S26,Observe,216
S26,80288,S26,S26,Observe,217
S26,83376,S26,S26,Observe,218
S26,86464,S26,S26,Observe,218
S26,89552,S26,S26,Observe,218
S26,92640,S26,S26,Observe,218
S26,95728,S26,S26,Observe,219
S26,98816,S26,S26,Observe,219
S26,101904,S26,S26,Observe,219
S26,104992,S26,S26,Observe,220
S26,108080,S26,S26,Observe,220
S26,111168,S26,S26,Observe,221
S26,114256,S26,S26,Observe,221
S26,117344,S26,S26,Observe,221
S26,120432,S26,S26,Observe,222
S26,123520,S26,S26,Observe,222
S26,126608,S26,S26,Observe,222
S26,129696,S26,S26,Observe,222
S26,132784,S26,S26,Observe,222
S26,135872,S26,S26,Observe,222
S26,138960,S26,S26,Observe,223
S26,142048,S26,S26,Observe,223
S26,145136,S26,S26,Observe,223
