sample,readsNums,Name,Experiment,Alpha,value
S23,3088,S23,S23,Shannon,2.51765609983087
S23,6176,S23,S23,Shannon,2.52389544296307
S23,9264,S23,S23,Shannon,2.51449061276717
S23,12352,S23,S23,Shannon,2.52347575359999
S23,15440,S23,S23,Shannon,2.5309895417832
S23,18528,S23,S23,Shannon,2.53393341923959
S23,21616,S23,S23,Shannon,2.53508164951354
S23,24704,S23,S23,Shannon,2.53408569623377
S23,27792,S23,S23,Shannon,2.53530115408317
S23,30880,S23,S23,Shannon,2.53094096870713
S23,33968,S23,S23,Shannon,2.53373872138667
S23,37056,S23,S23,Shannon,2.53711582936525
S23,40144,S23,S23,Shannon,2.53531934354282
S23,43232,S23,S23,Shannon,2.53502988937244
S23,46320,S23,S23,Shannon,2.53369867720396
S23,49408,S23,S23,Shannon,2.53333265437712
S23,52496,S23,S23,Shannon,2.53418741038628
S23,55584,S23,S23,Shannon,2.53509422090735
S23,58672,S23,S23,Shannon,2.53624754048435
S23,61760,S23,S23,Shannon,2.53737149541085
S23,64848,S23,S23,Shannon,2.53734086769307
S23,67936,S23,S23,Shannon,2.53732170273654
S23,71024,S23,S23,Shannon,2.53509928871939
S23,74112,S23,S23,Shannon,2.53411909877831
S23,77200,S23,S23,Shannon,2.53575814485989
S23,80288,S23,S23,Shannon,2.53487598175782
S23,83376,S23,S23,Shannon,2.53503460341256
S23,86464,S23,S23,Shannon,2.53427231180868
S23,89552,S23,S23,Shannon,2.53261698530694
S23,92640,S23,S23,Shannon,2.5317827393485
S23,95728,S23,S23,Shannon,2.53197932422684
S23,98816,S23,S23,Shannon,2.53150577952843
S23,101904,S23,S23,Shannon,2.53242113067172
S23,104992,S23,S23,Shannon,2.53208043022654
S23,108080,S23,S23,Shannon,2.53210705836587
S23,111168,S23,S23,Shannon,2.53212171379516
S23,114256,S23,S23,Shannon,2.53151263666317
S23,117344,S23,S23,Shannon,2.53217988759082
S23,120432,S23,S23,Shannon,2.53244090739851
S23,123520,S23,S23,Shannon,2.5335692381046
S23,126608,S23,S23,Shannon,2.53393896869539
S23,129696,S23,S23,Shannon,2.53350848208198
S23,132784,S23,S23,Shannon,2.53380454530087
S23,135872,S23,S23,Shannon,2.53418609995422
S23,138960,S23,S23,Shannon,2.53406338742292
S23,142048,S23,S23,Shannon,2.5331490063051
